#Build: 1.0.7.855
#DatePattern: yyyy/MM/dd:HH:mm:ss:S z
#Format: 1_time	2_status	3_type	4_rotatorId	5_UUID	6_processingTime	7_IP	8_method	9_viewAspect	10_request	11_referrer	12_userAgent	13_secureRequest	14_optoutCookie	15_cookieEnabled	16_sessionId	17_country	18_region	19_dma	20_zip	21_ajkey	22_uniqueUser	23_zone	24_advertiser	25_campaign	26_banner	27_dimension	28_adgroup	29_publisher	30_adspot	31_page	32_channel	33_category	34_subcategory	35_geolimitUid	36_dimSublimit	37_adspotSublimit	38_rootAdspotSublimit	39_clickUrlId	40_commission	41_cost	42_keywords	43_customStats	44_flashEventCount	45_flashEventId	46_flashEventType	47_pctId	48_pctCustomer	49_pctAmount	50_pctOrder	51_pctAction	52_pctDetails	53_pctSource	54_trackedPage	55_city	56_emp	57_requestedKeywords	58_rtbCompetitive	59_rtbResponse	60_globalChannelAd	61_mobile	62_vast	63_mobileCarrier	64_mobileOS	65_mobileDevice	66_mobileVendor	67_latitude	68_longitude	69_predefinedMobileAreas	70_customMobileAreas	71_aj_aud_bk	72_rtbServer	73_mobileType	74_globalChannels	75_blockedDomain	76_landingUrl	77_ajBid	78_openrtbStatus	79_openrtbTime	80_openrtbConfPriceFloor	81_openrtbActualPriceFloor	82_openrtbBid	83_openrtbSource	84_openrtbExtID	85_supplyCost	86_openrtbStep	87_openrtbWin	88_videoView	89_siteDomain	90_viewability	91_width	92_height	93_sdkVersion	94_deviceId	95_userId	96_parentUUID	97_agency	98_dlkSegments	99_adUnit	100_mobileOSVersion	101_mobileSdkVersion	102_mobileOwnerName	103_mobileResolutionWidth	104_mobileResolutionHeight	105_mobilePhysicalScreenWidth	106_mobilePhysicalScreenHeight	107_language	108_coppaEnabled	109_adMediaType	110_vastProtocols	111_vastLinearity	112_vastAdType	113_incomingOpenRtb	114_urlDomain	115_referDomain	116_domainDetectionSource	117_parentDimension	118_vmDeploy	119_vmMode	120_vmAttempt	121_flight	122_defaultAdType	123_originalTime	124_originalTimeOffsetMs
2016/06/08:23:59:59:948 EDT	empty ad	vast	13	ff8afe5a-3351-15cc-48ee-0155335115cd	72	174.104.205.42	GET	7	/rmp/15545/0/vast2?ajecscp=1465444799669&z=1r&dim=101,102,104&Vstrm=0&compMode=and&w=300&h=250&ifa=&appname=MeetMe&appbundle=com.myyearbook.m&lat=37.751&lon=-97.822	-	Mozilla/5.0 (Linux; Android 6.0.1; SM-N920V Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/51.0.2704.81 Mobile Safari/537.36	N	N	N	AE68CD2AAE68CD2A79BD1A07	united states	kansas	678	67543	V128CC3A261J-573H13J40601AE68CD2AQQQQQQP0G00G0Q0FD25DBF000001111000G3G5773DW3300G5683DW3250G4W3ifa3DPG70H36W8ff8afe5a2DW433512DW415cc2DW448ee2DX120155335115cdG0G0G0G0I300I250Q91G00G0G0G0QG0Q919191I94877	N	4060	-	-	-	-	-	6803	15545	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	haven	8	w=300;h=250;ifa=	N	-	N	Y	Y	-	Android	SM-N920V	Samsung	37.751	-97.822	-	N	-	openrtb	1	-	-	-	0.0	nobid	71	8.0	0.0	0.0	-	-	0.0	simple	N	N	-	0	300	250	-	-	-	ff8aaad2-3351-15cc-a886-0155335115cc	-	-	-	6.0	-	-	1440	2560	71	126	en	N	-	2;5	-	-	N	-	-	0	-	N	N	0	-	0	2016/06/08:23:59:59:948 EDT	0
2016/06/08:23:59:59:954 EDT	empty ad	vast	13	ff8a907a-3351-15d2-d154-0155335115d3	66	166.137.126.128	GET	7	/rmp/15545/0/vast2?ajecscp=1465444799814&z=1r&dim=101,102,104&Vstrm=0&compMode=and&w=300&h=250&ifa=&appname=MeetMe&appbundle=com.myyearbook.m&lat=32.7787&lon=-96.8217	-	Mozilla/5.0 (Linux; Android 5.1; MotoE2(4G-LTE) Build/LPIS23.29-18.9-2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/50.0.2661.86 Mobile Safari/537.36	N	N	N	A6897E80A6897E809E51CD68	united states	connecticut	501	75202	V129C077094J-573H13J40601A6897E80QQQQQQP0G00G0Q0FD25DBF000001111000G3G5773DW3300G5683DW3250G4W3ifa3DPG70H36W8ff8a907a2DW433512DW415d22DW4d1542DX120155335115d3G0G0G0G0I300I250Q91G00G0G0G0QG0Q919191I95422	N	4060	-	-	-	-	-	6803	15545	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	fairfield	8	w=300;h=250;ifa=	N	-	N	Y	Y	-	Android	XT1505	Motorola	32.7787	-96.8217	-	N	-	openrtb	1	-	-	-	0.0	nobid	65	8.0	0.0	0.0	-	-	0.0	simple	N	N	-	0	300	250	-	-	-	ff8a38d5-3351-15d2-5444-0155335115d2	-	-	-	5.1	-	-	540	960	57	100	en	N	-	2;5	-	-	N	-	-	0	-	N	N	0	-	0	2016/06/08:23:59:59:954 EDT	0
2016/06/08:23:59:59:998 EDT	empty ad	vast	13	ff8acdb2-3351-15fe-1a16-0155335115fe	22	52.39.159.95	GET	7	/rmp/15537/0/vast2?ajecscp=1465444799917&z=1r&dim=101,102,104&Vstrm=0&compMode=and&w=320&h=320&ifa=7ce9dbbc-cc79-4f18-a675-31535f112f9b&appname=SoundHound+Music+Search&appbundle=com.melodis.midomiMusicIdentifier.freemium&lat=37.294200000000004&lon=-81.1832	https://pubads.g.doubleclick.net/gampad/ads	Mozilla/5.0 (Linux; Android 6.0.1; SM-G925V Build/MMB29K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/50.0.2661.86 Mobile Safari/537.36 (Mobile; afma-sdk-a-v9083440.7571000.1)	Y	N	N	34279F5F34279F5FDF00AA1D	united states	virginia	573	24701	V1255C3C1ADJ-573H13J4060134279F5FQQQQQQP0G00G0Q0FD25DBF000001111000G3G5773DW3320G5683DW3320H40W3ifa3DW87ce9dbbc2DW4cc792DW44f182DW4a6752DX1231535f112f9bPG70H36W8ff8acdb22DW433512DW415fe2DW41a162DX120155335115feG0G0H15X11doubleclick2EW3netG0I320I320Q91G00G0H15X11doubleclick2EW3netG0QG0Q919191I99869	N	4060	-	-	-	-	-	6803	15537	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	java	8	w=320;h=320;ifa=7ce9dbbc-cc79-4f18-a675-31535f112f9b	N	-	N	Y	Y	-	Android	SM-G925V	Samsung	37.2942	-81.1832	-	N	-	openrtb	1	-	-	https://pubads.g.doubleclick.net/gampad/ads	0.0	nobid	21	8.0	0.0	0.0	-	-	0.0	simple	N	N	doubleclick.net	0	320	320	-	-	-	ff8ac8d2-3351-15fe-91e8-0155335115fe	-	-	-	6.0	-	-	1440	2560	34	50	-	N	-	2;5	-	-	N	-	doubleclick.net	2	-	N	N	0	-	0	2016/06/08:23:59:59:998 EDT	0
2016/06/09:00:00:00:1 EDT	empty ad	impr	13	ff8aaedc-3351-1601-c160-015533511601	19	12.36.239.189	POST	10	/rmp/5912/0/vo?z=akrtb	http://www.theblaze.com/	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36	N	N	N	0C24EFBD0C24EFBD598DDCD1	united states	kentucky	736	42141	V121321E868J-573H13J584610C24EFBDQQQQQQP0G00G0Q0FD25DC0000001010000G0PH100H36W8ff8aaedc2DW433512DW416012DW4c1602DX12015533511601H24X240C24EFBD0C24EFBD598DDCD1H3952582DW8e60164a42DW4391f2DW44d682DW4b85e2DX1296eef2bdfc50H12W8theblaze2EW3comG0I160I600Q91G00H12W8theblaze2EW3comH12W8theblaze2EW3comG0QG0Q919191G106	N	5846	-	-	-	-	-	5911	5912	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	glasgow	-	-	-	-	N	N	N	-	-	-	-	36.9744	-85.907	-	N	-	-	-	-	-	http://theblaze.com	-	-	-	-	-	-	-	RX-e60164a4-391f-4d68-b85e-96eef2bdfc50	0.0	-	-	N	theblaze.com	0	160	600	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	N	-	-	-	-	Y	theblaze.com	theblaze.com	1	-	N	N	0	-	0	2016/06/09:00:00:00:1 EDT	0
2016/06/09:00:00:00:20 EDT	ok	flash	13	ff8a8244-3351-1614-ba83-015533511614	0	192.126.160.206	GET	2	/rmp/33858/0/ch?ajkey=V1204016C47J-573H13J40601C07EA0CEK33857K33855QJ4126QQL6091170G1H21X10playlistid3DX100_owxw5njg0G3001H10X100_rucxgda9K338550FD25DB7000001011000H11H21X10playlistid3DX100_owxw5njgH15X11playerwidth3DW3854H16X12playerheight3DW3480H15X14playerposition3DH15X13contentlength3D30H39X14grabexternalid3DX24562ff1d961646d69e2000018G5W4zjid3DG5773DW3854G5683DW3480G4W43396G4W43372G1H14X14grabexternalidH24X24562ff1d961646d69e2000018G70H36W8060a98df2DW433502DW4f6822DW48f492DX1201553350f682G0G0H10W6blinkx2EW3comG1I854I480Q91G00G0H10W6blinkx2EW3comG0QG0Q019191I9386A&ajtrack=y&eventId=24&eventType=0	http://www6.blinkx.com/s/Traveler/0_owxw5njg	Mozilla/5.0 (Windows NT 10.0; rv:42.0) Gecko/20100101 Firefox/42.0	N	N	Y	C07EA0CE5350F68290517D61	united states	washington	819	98112	V1204016C47J-573H13J40601C07EA0CEK33857K33855QJ4126QQL6091170G1H21X10playlistid3DX100_owxw5njg0G3001H10X100_rucxgda9K338550FD25DB7000001011000H11H21X10playlistid3DX100_owxw5njgH15X11playerwidth3DW3854H16X12playerheight3DW3480H15X14playerposition3DH15X13contentlength3D30H39X14grabexternalid3DX24562ff1d961646d69e2000018G5W4zjid3DG5773DW3854G5683DW3480G4W43396G4W43372G1H14X14grabexternalidH24X24562ff1d961646d69e2000018G70H36W8060a98df2DW433502DW4f6822DW48f492DX1201553350f682G0G0H10W6blinkx2EW3comG1I854I480Q91G00G0H10W6blinkx2EW3comG0QG0Q019191I9386A	N	4060	4181	33854	33857	4126	33855	5095	33858	0	-	-	-	-	N	-	N	-	-	-	playlistid=0_owxw5njg	-;-;0_rucxgda9	1	24	0	-	-	-	-	N	-	0	-	seattle	-	playlistid=0_owxw5njg;playerwidth=854;playerheight=480;playerposition=;contentlength=0;grabexternalid=562ff1d961646d69e2000018;zjid=;w=854;h=480;3396;3372	-	-	N	N	Y	-	-	-	-	-	-	-	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	-	-	N	blinkx.com	1	854	480	-	-	-	060a98df-3350-f682-8f49-01553350f682	-	-	-	-	-	-	-	-	-	-	-	-	9	2;5	-	1	N	-	blinkx.com	0	-	N	N	0	-	0	2016/06/08:23:59:51:938 EDT	8082
2016/06/08:23:59:59:996 EDT	display	impr	13	ff8a0061-3351-15fc-68bd-0155335115fd	24	73.138.247.23	GET	3	/rmp/5729/0/vj?z=adkarma&dim=569&pos=1&kw=&url=&pv=2781024624638927&nc=32909681&tz=240&url=http%3A%2F%2Fwww.mousebreaker.com%2Fdriving&refer=http%3A%2F%2Fwww.mousebreaker.com%2Fdriving	http://www.mousebreaker.com/driving	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.63 Safari/537.36	N	N	Y	498AF717634F0D181051CA68	united states	florida	528	33101	V1239446946J-573H13I5511498AF717J5957J5953QI569QQP0G00G0J59530FD25DBF000001010000G0PG30H36W8ff8a00612DW433512DW415fc2DW468bd2DX120155335115fdG0G0H16X12mousebreaker2EW3comG0G0G0Q08G00G0H16X12mousebreaker2EW3comG0QG0Q919191I99668	N	551	5845	5952	5957	569	5953	5728	5729	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	miami	8	-	N	-	N	N	N	-	-	-	-	-	-	-	N	-	openrtb	-	-	-	http://www.mousebreaker.com/driving	0.0	nobid	23	0.4000000059604645	0.0	0.0	-	-	0.0	simple	N	N	mousebreaker.com	0	728	90	-	-	-	ff8afbe5-3351-15fc-5b3d-0155335115fc	-	-	-	-	-	-	-	-	-	-	en	N	2	-	-	-	N	-	mousebreaker.com	2	-	N	N	0	-	0	2016/06/08:23:59:59:996 EDT	0
2016/06/09:00:00:00:1 EDT	empty ad	vast	13	ff8afccc-3351-1601-c8ed-015533511601	19	204.116.12.15	GET	7	/rmp/delaplaya_meetme_vast_sc_android/0/vast2?z=1r&adtype=video&dim=103,104&w=320&h=400&kw=rnm_noninteractive,rnm_screenchange	http://ads.mopub.com/	Mozilla/5.0 (Linux; Android 4.4.4; SM-S820L Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/33.0.0.0 Mobile Safari/537.36	N	N	Y	CC740C0F23511601B0513426	united states	tennessee	557	37756	V12393D4698J-573H13J40601CC740C0FQQQQQQP0G00G0Q0FD25DC0000001111000G4G5773DW3320G5683DW3400H18X18rnm_noninteractiveH16X16rnm_screenchangePG70H36W8ff8afccc2DW433512DW416012DW4c8ed2DX12015533511601G0G0G9W5mopub2EW3comG0I320I400Q91G00G0G9W5mopub2EW3comG0QG0Q019191G11A	N	4060	-	-	-	-	-	6803	8101	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	huntsville	-	w=320;h=400;rnm_noninteractive;rnm_screenchange	-	-	N	Y	Y	-	Android	SM-S820L	Samsung	-	-	-	N	-	-	1	-	-	http://ads.mopub.com/	-	-	-	-	-	-	-	-	0.0	-	-	N	mopub.com	0	320	400	-	-	-	-	-	-	-	4.4	-	-	480	800	59	99	-	N	-	2;5	-	1	N	-	mopub.com	2	-	N	N	0	-	0	2016/06/09:00:00:00:1 EDT	0
2016/06/08:23:59:59:952 EDT	vastrtb	vast	13	ff8a80be-3351-15d0-002e-0155335115d1	68	50.131.68.211	GET	7	/rmp/16761/0/vast2?z=adkarma&dim=667&adtype=video&Vstrm=0&compMode=and&kw=&vastfw=vpaid&w=300&h=250&url=http%3A%2F%2Fvodlocker.com	http://speednetwork14.adk2x.com/imp?p=70555017&psid=&size=300x250&mattrackingid=6e001a11-96c6-4aef-bdbd-8075485fa4c0%2Cfcaae893-5b5c-4f35-b040-6b4b6f5b3c8b%2C1465444799397&ptitle=&adclickurl=&adclickthrough=&ap=1300&ct=html&u=http%3A%2F%2Fvodlocker.com%2Fembed-odyq307a6r9c-620x360.html&r=http%3A%2F%2Fvodlocker.com%2Fembed-odyq307a6r9c-620x360.html&iss=0&f=1	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:46.0) Gecko/20100101 Firefox/46.0	N	N	Y	328344D3032B816FF0470A0A	united states	california	807	94070	V12DAEB7699J-573H13I5511328344D3I943I944QI667QQP0G00G0Q0FD25DBF1G9302EW700534921G5302EW30040001011000G0PG70H36W8ff8a80be2DW433512DW415d02DW4002e2DX120155335115d1G0G0H13W9vodlocker2EW3comG0I300I250Q09G00H13W9vodlocker2EW3comG9W5adk2x2EW3comG0QG0Q019191I95256	N	551	942	944	943	667	-	12404	16761	0	-	-	-	-	N	-	N	-	0.004	0.0053492	-	-	-	-	-	-	-	-	-	N	-	0	-	san carlos	9	-	N	-	N	N	Y	-	-	-	-	-	-	-	N	-	openrtb	-	-	-	http://vodlocker.com	5.0	bid	66	5.0	5.0	5.3492	1rx	-	0.0	simple	Y	N	vodlocker.com	0	300	250	-	-	-	ff8a8aa5-3351-15d0-3566-0155335115d0	-	-	-	-	-	-	-	-	-	-	en	N	7	2;5	-	1	N	vodlocker.com	adk2x.com	1	-	N	N	0	-	0	2016/06/08:23:59:59:952 EDT	0
2016/06/09:00:00:00:20 EDT	empty ad	vast	13	ff8a1333-3351-1614-f1b8-015533511614	0	107.9.206.220	GET	7	/rmp/msn_zumobi_vast_android/0/vast2?ajecscp=1465444799920&z=1r&dim=102&adtype=video&Vstrm=0&compMode=and&url=clean+master+(300x250)&ajip=107.9.206.220&ajuseragent=Mozilla/5.0+(Linux%3B+U%3B+Android+4.3%3B+en-%3B+SM-S765C+Build/JLS36C)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Version/4.0+Mobile+Safari/534.30&devId=ba6f75a3-f301-46fb-9094-8ca0ec1bde89	-	Mozilla/5.0 (Linux; U; Android 4.3; en-; SM-S765C Build/JLS36C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30	N	N	N	6B09CEDC6B09CEDC965DF93B	united states	pennsylvania	516	16503	V12C1F469A9J-573H13J406016B09CEDCQQQJ8305QQP0G00G0Q0FD25DC0000001111000G0PG70H36W8ff8a13332DW433512DW416142DW4f1b82DX12015533511614G0G0G0G0G0G0Q91H36W8ba6f75a32DW4f3012DW446fb2DW490942DX128ca0ec1bde890G0G0G0QG0Q019191H2056	N	4060	-	-	-	8305	-	6759	7944	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	erie	-		-	-	N	Y	Y	-	Android	SM-S765C	Samsung	-	-	-	N	-	-	1	-	-	-	-	-	-	-	-	-	-	-	0.0	-	-	N	-	0	0	0	-	ba6f75a3-f301-46fb-9094-8ca0ec1bde89	-	-	-	-	-	4.3	-	-	480	800	53	88	-	N	-	2;5	-	1	N	-	-	0	-	N	N	0	-	0	2016/06/09:00:00:00:20 EDT	0
2016/06/09:00:00:00:20 EDT	empty ad	vast	13	ff8adf61-3351-1614-e163-015533511614	0	71.90.57.5	GET	7	/rmp/delaplaya_meetme_vast_sc_android/0/vast2?z=1r&adtype=video&dim=103,104&w=320&h=400&kw=rnm_noninteractive,rnm_screenchange	http://ads.mopub.com/	Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG-SM-G900A Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/50.0.2661.86 Mobile Safari/537.36	N	N	Y	475A390523511614D051A3EC	united states	wisconsin	617	53081	V128142503AJ-573H13J40601475A3905QQQQQQP0G00G0Q0FD25DC0000001111000G4G5773DW3320G5683DW3400H18X18rnm_noninteractiveH16X16rnm_screenchangePG70H36W8ff8adf612DW433512DW416142DW4e1632DX12015533511614G0G0G9W5mopub2EW3comG0I320I400Q91G00G0G9W5mopub2EW3comG0QG0Q019191H2016	N	4060	-	-	-	-	-	6803	8101	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	sheboygan	-	w=320;h=400;rnm_noninteractive;rnm_screenchange	-	-	N	Y	Y	-	Android	SM-G900A	Samsung	-	-	-	N	-	-	1	-	-	http://ads.mopub.com/	-	-	-	-	-	-	-	-	0.0	-	-	N	mopub.com	0	320	400	-	-	-	-	-	-	-	5.1	-	-	1080	1920	64	113	-	N	-	2;5	-	1	N	-	mopub.com	2	-	N	N	0	-	0	2016/06/09:00:00:00:20 EDT	0
2016/06/09:00:00:00:20 EDT	empty ad	vast	13	ff8a7162-3351-1614-9ac0-015533511614	0	172.56.16.74	GET	7	/rmp/delaplaya_tweetcaster_vast_sc_iphone/0/vast2?z=1r&adtype=video&dim=103,104&w=320&h=400&kw=rnm_noninteractive,rnm_screenchange	http://wv.inner-active.mobi/simpleM2M/	Mozilla/5.0 (Linux; Android 4.4.2; SM-T210R Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Safari/537.36	N	N	Y	AC38104A23511614D051DC98	united states	california	803	90660	V121CB38639J-573H13J40601AC38104AQQQQQQP0G00G0Q0FD25DC0000001111000G4G5773DW3320G5683DW3400H18X18rnm_noninteractiveH16X16rnm_screenchangePG70H36W8ff8a71622DW433512DW416142DW49ac02DX12015533511614G0G0H17W5inner2DW6active2EW4mobiG0I320I400Q91G00G0H17W5inner2DW6active2EW4mobiG0QG0Q019191H2003	N	4060	-	-	-	-	-	6803	8105	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	pico rivera	-	w=320;h=400;rnm_noninteractive;rnm_screenchange	-	-	N	Y	Y	-	Android	SM-T210R	Samsung	-	-	-	N	-	-	2	-	-	http://wv.inner-active.mobi/simpleM2M/	-	-	-	-	-	-	-	-	0.0	-	-	N	inner-active.mobi	0	320	400	-	-	-	-	-	-	-	4.4	-	-	600	1024	90	154	-	N	-	2;5	-	1	N	-	inner-active.mobi	2	-	N	N	0	-	0	2016/06/09:00:00:00:20 EDT	0
2016/06/09:00:00:00:20 EDT	empty ad	vast	13	ff8a6693-3351-1614-8dd6-015533511614	1	99.44.53.42	GET	7	/rmp/delaplaya_meetme_vast_sc_android/0/vast2?z=1r&adtype=video&dim=103,104&w=320&h=400&kw=rnm_noninteractive,rnm_screenchange	http://ads.mopub.com/	Mozilla/5.0 (Linux; Android 5.0.1; SAMSUNG-SGH-I337 Build/LRX22C; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/50.0.2661.86 Mobile Safari/537.36	N	N	Y	632C352A3351161410519D3C	united states	georgia	524	30120	V12F5D6C557J-573H13J40601632C352AQQQQQQP0G00G0Q0FD25DC0000001111000G4G5773DW3320G5683DW3400H18X18rnm_noninteractiveH16X16rnm_screenchangePG70H36W8ff8a66932DW433512DW416142DW48dd62DX12015533511614G0G0G9W5mopub2EW3comG0I320I400Q91G00G0G9W5mopub2EW3comG0QG0Q019191H2055	N	4060	-	-	-	-	-	6803	8101	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	cartersville	-	w=320;h=400;rnm_noninteractive;rnm_screenchange	-	-	N	Y	Y	-	Android	SGH-I337	Samsung	-	-	-	N	-	-	1	-	-	http://ads.mopub.com/	-	-	-	-	-	-	-	-	0.0	-	-	N	mopub.com	0	320	400	-	-	-	-	-	-	-	5.0	-	-	1080	1920	63	111	-	N	-	2;5	-	1	N	-	mopub.com	2	-	N	N	0	-	0	2016/06/09:00:00:00:20 EDT	0
2016/06/09:00:00:00:20 EDT	bid	vast	13	ff8a600b-3351-1614-6a5b-015533511614	1	52.40.229.30	GET	7	/rmp/15551/0/vast2?ajecscp=1465444799930&z=1r&dim=101,102,104&Vstrm=0&compMode=and&w=300&h=250&ifa=97828ad9-2790-4ed7-afd5-75c64eb6be76&appname=Clean+Master+(300X250)&appbundle=com.cleanmaster.mguard&lat=42.2429&lon=-71.0098	http://ads.mopub.com/	Mozilla/5.0 (Linux; Android 5.0; SM-G900V Build/LRX21T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/50.0.2661.86 Mobile Safari/537.36	N	N	N	3428E51E3428E51E983E07EB	united states	massachusetts	506	02169	V12A9267392J-573H13J406013428E51EQQQQQQP0G00G0Q0FD25DC0000001111000G3G5773DW3300G5683DW3250H40W3ifa3DW897828ad92DW427902DW44ed72DW4afd52DX1275c64eb6be76PG70H36W8ff8a600b2DW433512DW416142DW46a5b2DX12015533511614G0G0G9W5mopub2EW3comG0I300I250Q91G00G0G9W5mopub2EW3comG0QG0Q919191H2064	N	4060	-	-	-	-	-	6803	15551	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	boston	-	w=300;h=250;ifa=97828ad9-2790-4ed7-afd5-75c64eb6be76	-	-	N	Y	Y	-	Android	SM-G900V	Samsung	42.2429	-71.0098	-	N	-	-	1	-	-	http://ads.mopub.com/	-	-	-	-	-	-	-	-	0.0	-	-	N	mopub.com	0	300	250	-	-	-	-	-	-	-	5.0	-	-	1080	1920	64	113	-	N	-	2;5	-	-	N	-	mopub.com	2	-	N	N	0	-	0	2016/06/09:00:00:00:20 EDT	0
2016/06/09:00:00:00:20 EDT	empty ad	vast	13	ff8a6932-3351-1614-3ec6-015533511614	1	73.90.211.23	GET	7	/rmp/msn_zumobi_vast_android/0/vast2?ajecscp=1465444799937&z=1r&dim=102&adtype=video&Vstrm=0&compMode=and&url=textnow&ajip=73.90.211.23&ajuseragent=Mozilla/5.0+(Linux%3B+Android+5.1.1%3B+LGMS345+Build/LMY47V%3B+wv)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Version/4.0+Chrome/50.0.2661.86+Mobile+Safari/537.36&devId=	http://ads.mopub.com/	Mozilla/5.0 (Linux; Android 5.1.1; LGMS345 Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/50.0.2661.86 Mobile Safari/537.36	N	N	N	495AD317495AD317012809CD	united states	oregon	820	97007	V121FDCEACCJ-573H13J40601495AD317QQQJ8305QQP0G00G0Q0FD25DC0000001111000G0PG70H36W8ff8a69322DW433512DW416142DW43ec62DX12015533511614G0G0G9W5mopub2EW3comG0G0G0Q91G00G0G9W5mopub2EW3comG0QG0Q019191H2031	N	4060	-	-	-	8305	-	6759	7944	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	beaverton	-		-	-	N	Y	Y	-	Android	MS345	LG	-	-	-	N	-	-	1	-	-	http://ads.mopub.com/	-	-	-	-	-	-	-	-	0.0	-	-	N	mopub.com	0	0	0	-		-	-	-	-	-	5.1	-	-	480	854	57	100	-	N	-	2;5	-	1	N	-	mopub.com	2	-	N	N	0	-	0	2016/06/09:00:00:00:20 EDT	0
2016/06/09:00:00:00:20 EDT	empty ad	vast	13	ff8a57c6-3351-1614-3066-015533511614	0	66.112.170.205	GET	7	/rmp/delaplaya_meetme_vast_sc_android/0/vast2?z=1r&adtype=video&dim=103,104&w=320&h=400&kw=rnm_noninteractive,rnm_screenchange	http://ads.mopub.com/	Mozilla/5.0 (Linux; U; Android 4.2.2; en-us; SAMSUNG-SGH-I527 Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30	N	N	Y	4270AACD23511614D051D5F0	united states	alabama	630	35442	V12CFEA0F01J-573H13J406014270AACDQQQQQQP0G00G0Q0FD25DC0000001111000G4G5773DW3320G5683DW3400H18X18rnm_noninteractiveH16X16rnm_screenchangePG70H36W8ff8a57c62DW433512DW416142DW430662DX12015533511614G0G0G9W5mopub2EW3comG0I320I400Q91G00G0G9W5mopub2EW3comG0QG0Q019191H2011	N	4060	-	-	-	-	-	6803	8101	0	-	-	-	-	N	-	N	-	0.0	0.0	-	-	-	-	-	-	-	-	-	N	-	0	-	aliceville	-	w=320;h=400;rnm_noninteractive;rnm_screenchange	-	-	N	Y	Y	-	Android	SGH-I527	Samsung	-	-	-	N	-	-	2	-	-	http://ads.mopub.com/	-	-	-	-	-	-	-	-	0.0	-	-	N	mopub.com	0	320	400	-	-	-	-	-	-	-	4.2	-	-	720	1280	79	140	-	N	-	2;5	-	1	N	-	mopub.com	2	-	N	N	0	-	0	2016/06/09:00:00:00:20 EDT	0
